CHR                            HASH SHA256
do -- ac0b52a2ae6ef99999bc08fb31e19188bf0085a4614204068e677e140e1458be
dp -- a9dc602f9d82bc6720b2b4bb016edcacf7da4b2b453a466b742da743f3cba15d
dq -- 5154ed9edd766c720bf72e26a776b9125879a35ba03771533d43a3d35a38cf4e
dr -- a6b988796bd91c209657d13fc7c14b8a7c9652cec0232f97046adb2e916ed5cc
ds -- f9c7af7ebcbf098b9f5f37361d1b168bb2e5b98d930ceef0f055377a8c94db61
dt -- fefbdb67a3b2d570a0c29fd64907931f9340cc93cdf53b2f724c0674ac8a6024
du -- 601b2c2473811afea7864a21e4b965a970afa4ce9eaf85dbdf01414bca66c12c
dv -- 53423cb9661c9419ada22856c7053555a2ce4e11be200125f7a8487e480f4aa5
dw -- b2608d57488c00156d82401ba5114dc1eddbae104173c08bfa061c1a24019423
dx -- 720f6ac947ab8e448c3a7bb9109e62b72d79a388cb8e05469a6188d76b2e02b3
dy -- aa1be933fec0f68c7d1ef42b15259b73f88c582d5f535753d9ad647394deefe8
dz -- 2a92270185a50d8020949f2cfb2125d1af1c2bd3dd92eada9210fcdb5c4310bf
----------------------------------------------------------------------
ea -- 8405ae6de3ebde2abffb2531d437a163a31dc42a109c7369b66b93258c7e1d67
eb -- fce2551fcc23040870d151006816cc39d3831abff948dc646a2f6cb076e08ce0
ec -- 1eb85f4d6a3234ce7acb8c51c75930f12e952517e2e389914a6ca8f89a881a0d
ed -- 9c1623f0d38e28e9594f2ef31a7ec909291c4fdb05a777dccd2e936a7f406011
ee -- 27a84712e4b22c415fc544d55cdee82327a829f96d03329457f76ebf9af4dcaa
ef -- 4ca669ac3713d1f4aea07dae8dcc0d1c9867d27ea82a3ba4e6158a42206f959b
eg -- d8c59e8348e0c03f9d2105eed9791438f9aea9586381b79deadbc857eef89d78
eh -- 0c044a36c373b6a8955cc7ce45b9be389e7bf39ec3690747e9f0a0f298fdca0a
ei -- 39d633dc9cf015fb99ef4bc11351e02f55f37397c9017f1f7cefe05c08493aeb
ej -- f68179f3ec9247a4a89aee43deb87797691101db3f803db80333f9e4eee48e58
ek -- 5e930b1b2b6c65de47679df72b3a7316a54a84f4b0d1e2159f483657fba3be43
el -- d65c3e892354b17a4c032593974d46bc8732c6c0b1ce56edf0c95511d1749cf5
em -- 84a47f61dd341ce731390149a904abcd58a6044263071abf44a475cf91563029
en -- dbd3a49d0d906b4ed9216b73330d2fb080ef2f758c12f3885068222e5e17151c
eo -- 5d61caeedf54c4df706492776961de8e326e6d23957ac6c0622e21afa0ada80c
ep -- 0e26f370b56256f2c7dc5a6c5b4a43cbdfb8a61961fcd697e65896ec1579f9e8
eq -- 7d601f9d20703a97b8cb530538dbbadaa3e4bdfa5f333977e4232f51eebdc47a
er -- cc7e4412564ba8a761bd32ab4cc6086bac3c2c9e580367e0b0eb32a4316f9154
es -- c0bc1e08f9743b2d50d5f1607503bf4e849af0e729fca896515bea955d70a33e
et -- f056b8cae37dc3ed60ee52da9a2951f8a6c531fe3222a3ad6835dbdd905c7d2a
eu -- 4d0282941aaf2d694ddaa24fca75e503c73ab16fff3884cac12f39f882bc60cb
